sep=;
Change-Id=I3e278154b0944d5ca71d2119063c5c8c51d06f50; subject=netdev-offload-dpdk-FIX: Introduce create_offload_flow helper; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I0ec0c3635086bbb6857624d48c77fce69aaf3fc2; subject=netdev-offload-dpdk: Helper to create a miss flow in a jumped table; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I2841da3db1c508533723ed92563f195ef557106f; subject=netdev-offload-dpdk: Create miss flows instead of miss marks; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I8501770dc056da77a9edb34a8e4a431a36030871; subject=conntrack-FIX: Handle scenarios with nat_conn handle; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I47b3baa1e66b88ca0cea285ba2673b9a9e540cd6; subject=netdev-offload-dpdk: Keep netdev explicitly for miss flow; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I6f4f3f279dacef4deb4d995b7dc425d084454bef; subject=conntrack: Add master_conn to nat_conn; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I58296e0b81a30489d67983e000e143426cdb56eb; subject=conntrack: Keep ct_state on ct offloads struct; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I4d704f8d461627edc6eb97d9fe2b9dc5671b2ca1; subject=conntrack: Bidirectional CT offloading; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ic45475e947b02d4b72b63848c48f1c49d7f51254; subject=conntrack: Add CT ID per connection; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ia6300add325f1e8e35f2f7d03af597eae1289db8; subject=dpif-netdev: Send CT id to offloading; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I41241787cab0fd045f930f9fc4dd2a2ee8da7dfa; subject=dpif-netdev: CT ID allocation/free; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I4158706884f93fee2c4e1dbd25028e005cf1d9de; subject=netdev-offload-dpdk: Shared counter for all CT connection flows; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I50476ed0dcc6ec7d6e615284a656a5cb2f3c1bf6; subject=netdev-offload-dpdk: Add last to patterns; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=Ic8b7c3563732cc9fdfb4dbc49159603aeaf24744; subject=netdev-offload-dpdk: Support IPv4 fragmentation types; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I206b64855bfdd913d0f492c9d6317744ad8e31c6; subject=netdev-offload-dpdk: Support IPv6 fragmentation types; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I6e4b8dd492e75e01c4f932a870091a426b185262; subject=netdev-offload-dpdk: Don't ignore frags as they are handled; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I37d04b3a3c6ba7b5969f2a6d5e33f72d4a3101e8; subject=netdev-offload-dpdk: Refactor context release to a helper function; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I0b3fc0d54d7bff214036a537bfca1beb8403eb10; subject=netdev-offload-dpdk: Delayed context release; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I6afa5d9d28c2fc5f9d195f62f296dc6725892e91; subject=netdev-offload: Delayed release of mark IDs; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I95196ee8b898b73d5c65bd7c0497a14db23232ac; subject=dpctl: Add offload queue lengths statistics; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I328da02192c63182f07c5eebcfce2005910f6b8b; subject=dpctl: Add CT insertion/deletion rates statistics; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I21bf441f90043730e1dc3467449c7b536d1b8665; subject=netdev-offload-dpdk: Preserve HW statistics for modified flows; feature=bp_2_14; upstream_status=in_progress; general=;
Change-Id=I990b62c93fa4e884d4c4dd9ca2e59349bbed933e; subject=Update metadata - 2.14; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Id565c0ce656c853dbb7b46cb9c0a8ced96bb3ba7; subject=conntrack: Inroduce get ufid for a connection function; feature=dpdk; upstream_status=ignore; general=;
Change-Id=I1aa0fc6b4c3eb386b90800793ebb194820037638; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I70b11c545265e9377c0c032218137bb4d050c964; subject=dpif-netdev: Refactor CT offload handling; feature=dpdk; upstream_status=ignore; general=;
Change-Id=I8cf164e992416ebf57b0e7f61745f2c5ba90044d; subject=conntrack: Sync CT offloads with refcount; feature=dpdk; upstream_status=ignore; general=;
Change-Id=Ib7dee6b05710a253dd604d9917831fc932ae5e28; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
